username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
KyleSGibson,senior staff researcher for https://t.co/iV9EsbeeC8 @mitopenlearning,"Boston, MA",3151,3463,123318,0,"@BennettTomlin @CasPiancey ironic that the cybertruck is a car that's ""inspired by video games"" and it was funded through pre-orders and when it comes out will look nothing like the renders",[]
EclipseVenexus,He/Him. Complete miscellaneous fandom trash for so many things. Usually a pretty mellow space full of reweets and a lot random nonsense.,Monster Island,2035,251,69051,29,"And each one will come with a free cybertruck!

Stop being so credulous. https://t.co/hLKih0h1rF",[]
Reenath,The 2 most important days in your life are “The day you were born and the day you find out why”.,,157,294,91965,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
ian_e_richards,Author and Investor,Costa del Sol - Spain,240,222,2121,0,"@SteveHamel16 @Tesla Agreed. But there is the small matter of FSD release, DOJO, Cybertruck, Semi, Roadster, ramping Berlin/Austin, solar roof/ storage and factories in India/S. America/Elsewhere to keep us going in the meantime.",[]
tinfoilstar,Disclaimer: I ask honest questions; make uncomfortable statements; Following or RT does not mean endorsement. Correct & educate me if Im wrong. Im here to learn,"Pretoria, South Africa",2106,802,159,10,"Enjoy this week's 90-min. episode of my @Tesla podcast, Ride the Lightning! Lots to cover this week, as I was lucky enough to attend AI Day. I look at what Dojo means for FSD's near-future, analyze @elonmusk's Cybertruck/Hardware 4 comments &amp; more! Listen: https://t.co/Hrpm4IfckR",[]
JadenHalstead,,,133,114,13256,0,@mondiani @YangDailyCast @kirkluvzstonks @jasondebolt What do I get when the first Semi and Cybertruck are delivered?,[]
benwehrman,$GME 💎🙌 Meme/DD highlights from the Great Squazzling of 2021 🚀,📸+backup👉,1233,4087,7103,0,"@ConwayYen @tesla4k 💯 my dream garage is Cybertruck, FUV, and Zero SR/F ⚡⚡⚡",[]
JeanDepiesse,"Student of Social Change, Technoprogressist, Sustainability advocate, Web Designer, Musician, Tesla Bull","Bruxelles, Belgique",295,22,1234,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
bgtanguay,“I mistook stars reflected in a pond at night for those in the sky.”,"Kalamazoo, MI",201,90,3501,0,@DirtyTesla @WholeMarsBlog My Cybertruck?,[]
CasPiancey,"""Under promise, under deliver"" 

co-host @cryptocriticpod

opinions are my own & not sure how it could be interpreted any other way","A Big Yacht, Outside Milan",1007,7202,63612,0,@nothingGrinder 10 cybertruck down payments. Would never only get 1.,[]
nothingGrinder,Don't forget to wear a helmet!,"Bronx, NY",1042,855,9515,0,@CasPiancey Are you gonna ask for a refund on your Cybertruck Downpayment?,[]
dogecoin4tesla,"I'm a bot made by @DogecoinBeggar.

I check the price of a @Tesla vehicle in #Dogecoin every hour.

$DOGE tip jar: DQUj3jVvZZGTEAoNAxffj8CA4vnLVuUQtk",The Moon,777,897,3500,0,"Currently, 1 $DOGE = $0.309710.

At this rate, a #Tesla #Cybertruck costs:
• Single Motor RWD: 128,831 Ɖ
• Dual Motor AWD: 161,119 Ɖ
• Tri Motor AWD: 225,696 Ɖ
• +Full Self-Driving: 32,289 Ɖ

#dogecoin

https://t.co/QJ9UP2xeOK","['Tesla', 'Cybertruck', 'dogecoin']"
lorinda79318743,"Oracle of OHMEME AHhaha , Celestial PsychoPomp , memepsychology , Jungian, film fanatic , #DOGELIFE , Space LLAP 🖖 Teslarian , Neuralinkian",doge town,1989,485,3611,0,@nichegamer Man I’m a 5’2 gal and I need a hobbit sized plush ultraviolet gaming chair to go with my glow in the dark violet #cybertruck @TeamRazer @Razer @elonmusk … you’ve got time just don’t forget about me. https://t.co/AhJplIjClp,['cybertruck']
rdutchofdukes,i don't know...i'm an astronaut.  yeah that'll work.,Las Vegas,580,242,6396,0,Hey whatever happened to Elon's dumbass Cybertruck?  Did they ever even make that or what?  Don't let him move on to not delivering a robot until he officially doesn't deliver the Cybertruck,[]
Antonio75246947,"#FutureMillionaire
#ElonMusk
#Dogecoin To The Mooooon!!!🚀👨‍🚀🚀
#Safemoon Out Of The MILKY WAY 🌌","Fresno, CA",82,157,13663,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
nutrageus,Believe in 2nd Bill of Rights=Right to clean air water land&Good Education&JOB. adventurer farmer.24/7 pts in 2020 Deep Cuts song is me . Time to live peace ✌.,Southwest OR,4803,2137,119195,0,Game Changing Tesla Cybertruck Upgrades https://t.co/Spbfs8OZJE via @YouTube,[]
D60111,Loving life,,8,0,1,0,@elonmusk I have a idea for the Cybertruck and Semi. When towing should able to save 50% of energy while in route. Check your your Dm from instagram for more information contact me there. @elonmusk,[]
JeremiahRoper3,100% Sapian,,15,6,111,0,@SawyerMerritt Can I just get my cybertruck first please?,[]
AndygivesCandy,I exercise all my options.,,376,832,6503,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
CryptoCam___,🪢,,103,12,157,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
OppayahTwitR,"Tesla Model 3 owner as of July 7, 2018. I’m here to learn and share my Tesla experience truthfully. Accumulating $TSLA on every dip since 2016.",United States,226,1291,17058,0,"Since we are getting so excited about Tesla Bot, Cybertruck HW4 is not being mentioned much on Twitter. It’s going to have the fastest chip and more functions than Model S3XY. In USA, I would’ve surprised if the demand for Cybertruck tops Model 3 after 1 year. $TSLA https://t.co/r3D8Be7pwz",[]
mondiani,"Eu sou um fotógrafo! My style? Amazing! Extraordinaire! 

Moi, je",Brussels,1046,245,20466,0,"@JadenHalstead @YangDailyCast @kirkluvzstonks @jasondebolt they haven't sold millions Teslas

where's your cybertruck, your semi or your robotaxi buddy ?",[]
intrepidbrit,"Just a London Boy's thoughts on things; said things involve politics, Tesla, investing, renewable energy, physics, space stuff, and Beyonce. Also epic fantasy.",Chicago,557,94,12155,0,"@slye They’ve decided that they need yet another distraction in the middle of launching 4680 cells, Semi, Cybertruck, etc whilst simultaneously ramping up production of existing products. Did I miss anything?",[]
YaMccoy33,Love,,170,41,1077,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
LyftGyft,Just an ordinary guy with heavy opinions. follow for follow. Love EV’s and tech stuff. I’m a consumer. Love wins #RESIST #BLM #unapologeticallyblack,"Georgia, USA",3820,2496,7929,0,"@justin_horn The Cybertruck is a wet dream that won’t happen bro. 😂.  Also, appreciate the fact the F-150 is available now for them to use.  Can’t tell the storm to wait for the Cybertruck",[]
Paul91701736,"I love it when the fanbois tell us we're just envious. Yeah, Pablo Escobar owned a lot of houses and shit too.",,1027,6850,31527,0,"@domerfire @garyblack00 There is no Cybertruck or FSD, you moron. ✅",[]
Rand0mNPC,Parody of a sus person in your simulation.  Views likely stolen from someone else.,West Susadelphia born & raised,1056,182,470,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
justin_horn,I do code. I do @TeslaClubSoFla. You should join...the Official Tesla Owners Club for South Florida!!! https://t.co/vFJWWX85KU…,"Miami, Fl",1617,726,17105,0,@LyftGyft The cybertruck will probably do this since it will already have 120 and 240 outlets. This really is a great way to utilize the same batteries without having to buy dedicated home batteries.,[]
mtns2ocean,"Marine stumbled into IT. Fintwit, $TSLAQ, HAM noob, LFTR fan, not enough people know the difference between ionizing and non-ionizing radiation. 🐕 is a Heeler","Denver, CO",840,202,10798,0,"@whois_west @TeslaAndBitcoin Jobs presented the RESULTS of all that work. Still waiting on fElon to actually produce Cybertruck, 4680 cells, Roadster 2.0, Robotaxis, fully completed factory with solar, Semi-Truck, $35k Model 3 for the masses. All empty promises without real results. Wake up.",[]
OffroadNe,"North East UK Offroad Comunity, If you own a Landrover, Range Rover, Discovery or any 4×4 and interested in off road driving, visit our site!",North East UK,114,99,7054,0,Will Tesla’s Cybertruck be the GREATEST Offroad Truck EVER MADE? https://t.co/AawJH3EVFm,[]
OffroadNe,"North East UK Offroad Comunity, If you own a Landrover, Range Rover, Discovery or any 4×4 and interested in off road driving, visit our site!",North East UK,114,99,7054,0,"Will Tesla’s Cybertruck be the GREATEST Offroad Truck EVER MADE? - https://t.co/Eg2dVRvSgz - #offroad, #landrover #defender, #northeastuk","['offroad', 'landrover', 'defender', 'northeastuk']"
Doggie_wumpus,"Tesla, Aptera, EVs, clean tech, Citizens Climate Lobby, Reserve an Aptera for refundable $70 https://t.co/Do3tGtAeGt",Chicagoland,803,542,10407,0,"@nardopolo @tesla4k I mean honestly if I could order a Model 3 / Cybertruck robotaxi or an FUV zipmobile, I’d probably order the FUV most of the time because it would be more fun.",[]
jjrtennis,not smart...not dumb,,1640,183,9005,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
evgig,"EV network & internet marketing, Electric Vehicle, EV Conversion",World,7657,5771,10154,5,Consumer Reports Expresses Doubts About Tesla Cybertruck While Some Businesses Are Counting On It https://t.co/iisp8706sf,[]
hbk_spurs,"Long term $Tesla shareholder, politics!","Halmstad, Sverige",282,288,5094,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
dirigibalistic,"cass, she/her || head empty || gay and in love || i shitpost, sometimes i do one (1) Art",the express train to gaytown,36,26,350,0,"@elonmusk i can fuck better than your shitty robot AND beat it to death with my bare hands, this is going to be even funnier than the cybertruck",[]
allevehicles,"That EV Girl - USAF Veteran, EV Enthusiast, EV Investor, Test Driving, Jamming, Learning & Sharing EV Info 😎",United States,454,287,1444,2,Advertising without advertising. GENIUS! #cybertruck https://t.co/CanxPYtBvG,['cybertruck']
elacuariano_ar,"Most tweets in English are about Tesla/Electrification. NOT investment advice. DYOR.
Mayoría de tweets en español son de política y economía argentina.","Buenos Aires, Argentina",1103,441,26474,10,"This turned out to be completely wrong &amp; I want to explain how it happened

Somebody saw Oct mentioned next to Cybertruck and told me prod will start in Oct. I thought wow that's so early, it must be before Model Y. In hindsight Oct might be referring to the building or machinery https://t.co/pkqvWOUy53",[]
DanielCMarvin1,Retired Bering Sea Captain... Novice Sea Poet. Professional Dog Walker. Tesla Owner,"Oregon, USA",1736,1272,28585,0,@daveydo2000 @Tesla @elonmusk And Musk said the CyberTruck will be the best yet.,[]
j_power1,"29 | Tesla shareholder ☀️🔋🚗 | SpaceX 🌍🚀👨🏻‍🚀 Help me get to 100 followers 🚀 If in need of a friendly chat, my arms are open 😁",,39,43,1320,0,@SteveHamel16 I mean they could always cover it up again haha. But I think Elon is dying to start producing the Cybertruck and so is everyone else to be honest 😁,[]
TALLGUDGE,"Tesla Y, Solar + Powerwall owner, SpaceX, Starship, Dragon & Starlink junkie, Boring tunnels, Neuralink is fascinating, Crypto with a hint of Sarcasm & humor",San Diego,1264,1275,10356,0,Cybertruck siding/windows at GigaTexas 👍😳👀 https://t.co/mlM2XeuxA9,[]
HeartDocTesla,Be passionate in whatever you do. Optimism wins. Love Everything Tesla. Patiently waiting for CyberTruck. Roadster someday?,,5001,1906,7086,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
marc_benton,I do a little of this and a lot of that...,"Clovis, CA",325,4134,35434,0,"@24mobius42 I love Cybertruck, you’ve confused me with someone else. Sorry.",[]
SteveHamel16,"Musk/SpaceX/Tesla and Boring Company

My opinion only, either seriously or sarcastically.

https://t.co/Mh68UzymHZ",Mars Base Alpha,5638,7041,32858,0,"Would definitely be awkward now if they cancelled the Cybertruck program 🤣

$TSLA https://t.co/QX2zrVKgXS",[]
All_That_Ash601,,"Bossier City, Louisiana",1593,871,17768,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
AustinTeslaClub,"Official partner of @tesla owners club program. vehicles, solar, AI, robotics","Austin, TX",316,23838,8275,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
KaleyGoode,"Degrees in Physics, Microelectronics & Computing.  Retired Hardware & Software engineer (Nuclear/Military)",England 英国,542,299,5526,1,"@28delayslater My wife and I are discussing building a garage. 
Yesterday I walked off a rough area and she says, “is a Cybertruck gonna fit in that?” And I’ve never been more in love. 😍🥰",[]
huynhtanminh,TSLA NVDA SQ Fintech 5G IoT SpaceX PLTR,Australia,376,18,147,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
d4t4wr4ngl3r,Klaatu barada nikto,"Houston, Republic of Texas",1700,992,32662,0,"@IheartTesla @Tesla I don’t even own a Tesla and I’m just as bad

OMG I’ll be insufferable when I get my Cybertruck",[]
bjcllctr,"When I was born the doctors didn't say ""It's a boy""... they actually said ""It's Him!"".",I live in my head...,68,23,3140,0,@28delayslater The structural issue: A Cybertruck wouldn't fit here.,[]
FeloniousMusk,Some baggies deserve it.,Multiplanetary,61,34,142,0,"Tesla no longer needs to solve self-driving cars. Next year when the Tesla Bot ships, the bot can drive the Cybertruck, which will also ship next year. Elon Musk is playing 7D chess while the rest of us are playing 1D chess. Checkmate $TSLAQ. $TSLA https://t.co/XDXZexa2fC",[]
Genyosai,Track Life. Car Talk. That's about it.,Race Track,643,624,14633,0,"@dealer_of_happy @rhensing 🤣I was thinking Cybertruck, Roadster or Semi. Maybe even bot R&amp;D.",[]
3dthinks,Accelerating the transition to distributed manufacturing,"Baviera, Alemania",42,9,378,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
WeslyGilmore,Baseball fan. ⚾️ Universal Studios and Disney World nerd. Universal Blvd. is the where you can find me.📍📀,,64,25,4556,0,Cybertruck or Roadster? 🧐 #Tesla,['Tesla']
SmileyBecca2,"Do Only Good Every day
                                                            Came for the $TSLA -
Stayed for the #DOGE
 DNGB38JCmcpbsvrMr4hUaqSrtxuj5Vn5rP","Canfield, OH",1529,804,628,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
MilMileBattery,There is no $TSLA without @tesla,,1289,2850,16108,0,"Expecting 80% growth next year for around 1.5 million deliveries 2022

150k berlin

225k Austin (25k cybertruck, upside to 50k)

Shanghai full capacity with additional model Y line (SR)

One model 3 line converted to “model 2” by Q3 2022, shipping with LFP CATL",[]
WeslyGilmore,Baseball fan. ⚾️ Universal Studios and Disney World nerd. Universal Blvd. is the where you can find me.📍📀,,64,25,4556,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
MilMileBattery,There is no $TSLA without @tesla,,1289,2850,16108,0,"@TSLAFanMtl Expecting 80% growth next year for around 1.5 million

150k berlin

225k Austin (25k cybertruck, upside to 50k)

Shanghai full capacity with additional model Y line

One model 3 line converted to “model 2” by Q3 2022",[]
MLMDAJ,Doctor. Husband. Father. Son. very long hodler- Tesla owner.,,848,91,2418,10,"Enjoy this week's 90-min. episode of my @Tesla podcast, Ride the Lightning! Lots to cover this week, as I was lucky enough to attend AI Day. I look at what Dojo means for FSD's near-future, analyze @elonmusk's Cybertruck/Hardware 4 comments &amp; more! Listen: https://t.co/Hrpm4IfckR",[]
leemwilliams,"Photographer, Outdoorsman, Developer, Traveler, Jazz, Poetry, Cycling, Dogs.",USA,1159,1122,48891,0,"The new Delorean ...

https://t.co/yVsjQc8ccV",[]
sossoma,History buff & #TeamElon 🚘🚘🚀🚀🚀,"London, UK",201,171,2097,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
_GettingStoned,Gem & Mineral podcast hosted by Johnna Crider who makes jewelry and collects shiny things. https://t.co/GMkz3JPH03,"Baton Rouge, LA",565,6965,30794,58,Pink/orange moon with Tesla Cybertruck (click to expand)  #AIDay #Tesla $tsla https://t.co/JE9VH6FOPR,"['AIDay', 'Tesla']"
IbrihamTuray,"| 31 | 🦾😎♻️🌎🚀📈""BUY THE RUMOR, SELL THE NEWS BUT LIVE THE DREAM"" - Ibriham Turay 🇸🇱🗽🇺🇸 #ForeverJunez #Crew369  #NeuraLinkMeNow #SoonToBeCyberTruckOwner","Queens, NY",247,124,3116,3,@28delayslater You do not park your cybertruck in your garage. You park your garage in your cybertruck.,[]
SmokeDoggee,"Dogecoin to the Moon 🌙 Resister. Vote Blue and buy Dogecoin. Oh yeah Fuck Trump and his Trumptard Pussie Bois !! BLM, Supporter of LGBTQ. Respect people.",,1205,811,4252,0,@BellaCryptoLA Tesla Cybertruck.,[]
jeremyjudkins,Tesla Model 3 | Tesla Solar & Powerwall | Nugget Ice | CEO of Sus | Florida Man,"Sarasota, FL",2789,7226,76560,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
nurun39636322,Future is Now! Takes greatest interest in Clean & Green! Human existential threats! Everything Elon! Tesla! SpaceX! Neuralink! The Boring Company!,,293,298,1084,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
SeanEnjoying,"Enjoying life & Helping transform the 🌏 is awesome! get 1,500 free Supercharger km mileshttps://ts.la/sean24570SPP2O ⭐️ All opinions are my own!","Ontario, Canada",324,263,6903,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
ray4tesla,S/X owner/ CYBRTRK res holder. Randomly tweet what I see & read. Accelerate the world’s transition to sustainable energy ASAP. Rude ppl get blocked instantly.,"Southern California, USA",10,30158,19445,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
JenniCurrent,"Tesla is the way.. Ask for nothing, Laugh at yourself, Listen with interest, Rarely complain, Inspire others, Be Nice  $TSLA   By the way @ElonMusk is my hero","Indiana, USA",4386,1973,1606,2,Advertising without advertising. GENIUS! #cybertruck https://t.co/CanxPYtBvG,['cybertruck']
CodingMark,Tesla owner & enthusiast 🌱⚡🔋🌎,"California, USA",7539,13989,92354,3,@28delayslater You do not park your cybertruck in your garage. You park your garage in your cybertruck.,[]
nate_irl1,Pioneer. Enthusiast. Explorer.,,8,11,810,0,"@DimaZeniuk @Tesla @elonmusk @karpathy @AustinTeslaClub @daelmor @chicago_glenn @WholeMarsBlog @melaniemadri @1stMarsColonist @RationalEtienne @Inelonwetrust__ @Kristennetten @florent_french This is where you draw the line. Sorry Elon I love your Tesla, Cybertruck, and your idea of colonizing Mars, but I'll have to pass on this one.",[]
Dino_Habeebee,"🇩🇪 
| Retweeting stuff I find interesting
| Future Tesla owner","Deutschland, Frankfurt",94,60,2493,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
VitalyOnStocks,"Discussing Finance, Stocks, Investing, Real Estate, Crypto, Dividends. Anything that gets us to a better life.",Anywhere the wind blows,21,0,8,0,@stpinindy @Proxima06_Aiai Agreed. Damn you! Wheres my m*ther f'in CYBERTRUCK @elonmusk :-) @Tesla,[]
adamhoov,"$tsla, 11x cybertruck, model 3 owner, FSD, #doge, wim hof, mars, not sarcastic, mega bull on fiat currency, Followed by Gary and blocked by mike","California, USA",2414,3518,16386,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
darksnowfall111,Ayo the pizza here. nsfw dni,Where Doin' ya mom was filmed,108,8,1615,0,"@realAyitSevi yeah i mean back then graphics looked like the cybertruck and stories were mostly basic, halo infinite has photo realistic graphics and a story that breaks new ground",[]
Hu_Tomori1,Avid Hu Tao and Bloodsport stan | priv: @Hu_Tomori2 | One of the legendary sexmen | Casualphobic | banner: @Nguyen_DM95,Balls in your jaws,58,64,4339,0,Damn they really made the cybertruck even more low res https://t.co/6aOj41jIs2,[]
TSLA__bot,"$TSLA bot

Retweeting every tweet that contains $TSLA
---
Created by @breathpage_com",Tesla station on Mars,28,215,129694,1,@ComputeSam @45_79_65 @WholeMarsBlog @squawksquare I feel your pain. I learned to be more patient and wait for $TSLA dips. Your $711 will payoff when first Cybertruck rolls out from Austin GF.,[]
TSLA__bot,"$TSLA bot

Retweeting every tweet that contains $TSLA
---
Created by @breathpage_com",Tesla station on Mars,28,215,129694,8,"First commercial Tesla Cybertruck spotted in Ioannina, Greece $TSLA https://t.co/JjdKH5HgHj",[]
Saul_Bloom,Where are all the customers' yachts? Contrarian by nature. Longtime Twitter investor.,"Las Vegas, NV",511,505,23277,0,"Two of most unbelievable things in life:

1. Anyone who thinks @Twitter is being run well. 

2. Anyone who thinks the Cybertruck is anything but hideous.",[]
Marcus08090087,Not a bot.,,109,233,45559,2,"2022 is literally around the corner.  15.5 ish Months away homies.  Model Y Cast frame, structural pack, 4680!   CyberTruck debut is MELTING SOCIAL MEDIA.  Tesla BOT prototype hosts a Gala @ a Rave Cave in Berlin.  $tsla stonk goes to ZERO.",[]
adamwellinform,Tesla Tech Youtuber - Be informed,,166,49,197,0,"Spotted a spiritual predecessor to the Cybertruck. Classic lotus, looked in great condition. https://t.co/Zfz3ItfaJp",[]
bruhther_fred,YouTube Subscriber & Patreon Supporter of @hyperchangetv @stevenmarkryan @teslapodcast @erdayastronaut Big Fan of FACTS. Tri Motor Cybertruck Reserved🦾🔋🚀,,374,148,9848,10,"Enjoy this week's 90-min. episode of my @Tesla podcast, Ride the Lightning! Lots to cover this week, as I was lucky enough to attend AI Day. I look at what Dojo means for FSD's near-future, analyze @elonmusk's Cybertruck/Hardware 4 comments &amp; more! Listen: https://t.co/Hrpm4IfckR",[]
fabiopstp,"CFO of CISAN - Industry and Energy, S.A.","54.829056,11.139781",4996,398,3497,948,I really hope matte black is an option for the Cybertruck when it comes out. It looks so good! @elonmusk https://t.co/H72HHA8SP8,[]
TechmemeChatter,This account retweets the tweets that Techmeme links to.,"San Francisco, CA",1,2819,178176,1,"Musk 2019: Watch me smash the window of the Cybertruck; available in 2021!
Musk stans: Preorder 500k 
Musk 2021: My bad, truck won’t be available til at least ‘22. We’re gonna explode batteries, be investigated by NHTSA, and make robots in the meantime!
Musk stans: HE’S A GENUIS https://t.co/dMGc1NWr0V",[]
DMC_Ryan,"Executive Editor at @IGN. Host of RIDE THE LIGHTNING: @Tesla Unofficial Podcast. The ""DMC"" is because I used to own a DeLorean. Get my NFTs @ https://t.co/jINucVv8rm","San Francisco, CA",518,140193,54189,10,"Enjoy this week's 90-min. episode of my @Tesla podcast, Ride the Lightning! Lots to cover this week, as I was lucky enough to attend AI Day. I look at what Dojo means for FSD's near-future, analyze @elonmusk's Cybertruck/Hardware 4 comments &amp; more! Listen: https://t.co/Hrpm4IfckR",[]
TasserMatthias,super bullish tesla fangirl,,69,46,1734,0,"@OptimusUpRyan69 @WR4NYGov id be excited if the cybertruck, roadster and semi would be a thing by now. if the bot was the only thing left in the product pipeline its another discussion. but as elon said its all about recruiting",[]
ROBERT12772279,like music movies & lots more …   https://t.co/hhIXexC7Ux,wrexham wales,1274,1828,70149,0,@WholeMarsBlog My father is in hospital he doesn't think he's gonna live long enough to see model y order cybertruck I keep telling him to hold on,[]
teslaquadcities,Official Tesla Owners Club for the Quad Cities (IA/IL) and surrounding area. Official partner of the Tesla Owners Club Program. FREE and CHILL,Quad Cities (Iowa/Illinois),776,1218,5397,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
markp1950,"Retired old critter on twitter! Serial Disruptor!
Death Watch for the Internal Combustion Engine! 🔌 Keep the Coal in the Hole!🌻","Milwaukee,WI",986,198,24845,0,"@johnson_wrjohn1 @weberj502 @Royalacresrod @KeillerDon @MartinBrampton @nellslad @MikeMcL00531595 @Barrtecforever @RoyPentland @Richard08653290 @MikeDel21893959 @AndryGiles @Antverva @FriendsOScience @molenaarder @ianrowley677 @BailFund_Brawl @riversofgold1 @ianbrow97534170 @Tangomitteckel @ClimatePoet @Barbarajdurkin @rayinstirling @Veritatem2021 @mike_maric @NeasdenParade @JsharkJill @BarbaraGirouard @cjtjgeol @SandgroperDuff @wadlermd @GaryWHall @BarelyStreetabl @Stockfttp @dykarjohan @MarkHin83862722 @eric84701331 @JaggerMickOZ @drbarnesbangor @Bill_In_DC @mikeslastword @RogerBrennan17 @Cris_Paunescu @IgnaasR @GeertNoels @gmeeus2 @groen @MijnNatuurpunt @torfsrik @vrtnws As my stock goes up. I have enough to buy a Tesla with cash. Slow 2001. Future looks great. 
Yes when it goes up enough I will buy a home, with solar and greenhouse and Cybertruck and cash left over. 
I have everything I need. Blaaaaa",[]
AndyGiesbrecht1,,,424,22,167,0,"@JonathanGuito I am doing math on the back of a napkin, and would pay a person $100k a year to charge and clean my future robo taxi fleet. If the Tesla Bot is $100k and can plug in a CyberTruck and wash / vacuum, I will pay $100k and it will pay for itself in a year.",[]
DavidWells42069,,,43,6,178,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
m3m3supreme,"Booba Entrepreneur
🇨🇭",at home xd,493,133,2066,0,@SatisfactoryAF ok but why did you guys think making the cybertruck have square wheels was ok,[]
William96977815,,,12,0,20,0,My son Edison likes this knockoff #cybertruck but he ♥️ riding in my #Model3 #performance which puts a 😃 on his face every time! Thank you! @elonmusk @Tesla #HODL 💎🙌🏻 #DiamondHands https://t.co/RAk5m6Pcy7,"['cybertruck', 'Model3', 'performance', 'HODL', 'DiamondHands']"
